productID,productName,description,details,categoryName,subCategoryName,mediaName,price,salePrice,proPrice,proPriceDescription
25,Glorious Fusion,Half Jersey,"<p>Lifting the first ever T20 World Cup in 2007, carving out a breathtaking six 6's in an over, smashing the first ever double hundred in ODI history, and winning the first ever ODI series in Australia - the years 2007-2010 saw the Men in Blue embark on a record breaking spree which won the hearts of billions.</p> <p>The creation of this design takes cues from this memorable era, seamlessly blending the tricolour with multiple shades of blue.</p> <p>Drawing inspiration from the Cricket ball stitch, this T-shirt design includes an integrated seam pattern which is the unique CricHeroes Signature Print.</p> <p>Let the glorious past push you to new heights as you cover yourself in these historic threads. WEAR YOUR BLUE!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Soft Micro-Polyester</li> <li>Enhanced Stretchability</li> <li>Premium Quality</li> <li>Regular Fit</li> <li>Designed for Performance</li> <li>Crew Neck</li> <li>100% Polyester</li> <li>Quick Dry – Retains Fabric Softness, Ideal for Active Use</li> <li>Solid Print</li> <li>140 - 160 GSM</li> <li>Light Weight Fabric</li> <li>Enhanced Ventilation</li> </ul> <h2>Color</h2> <ul> <li>Light Blue</li> </ul> <h2>Material & Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 4 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>TM06</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,T-Shirts,https://media.cricheroes.in/dressing_room/product-media/glorious_fusion_half_1.jpg,1149,599,0,
26,Glorious Fusion,Full Jersey,"<p>Lifting the first ever T20 World Cup in 2007, carving out a breathtaking six 6's in an over, smashing the first ever double hundred in ODI history, and winning the first ever ODI series in Australia - the years 2007-2010 saw the Men in Blue embark on a record breaking spree which won the hearts of billions.</p> <p>The creation of this design takes cues from this memorable era, seamlessly blending the tricolour with multiple shades of blue.</p> <p>Drawing inspiration from the Cricket ball stitch, this T-shirt design includes an integrated seam pattern which is the unique CricHeroes Signature Print.</p> <p>Let the glorious past push you to new heights as you cover yourself in these historic threads. WEAR YOUR BLUE!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Soft Micro-Polyester</li> <li>Enhanced Stretchability</li> <li>Premium Quality</li> <li>Regular Fit</li> <li>Designed for Performance</li> <li>Crew Neck</li> <li>100% Polyester</li> <li>Quick Dry – Retains Fabric Softness, Ideal for Active Use</li> <li>Solid Print</li> <li>140 - 160 GSM</li> <li>Light Weight Fabric</li> <li>Enhanced Ventilation</li> </ul> <h2>Color</h2> <ul> <li>Light Blue</li> </ul> <h2>Material & Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 4 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>TM06</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,T-Shirts,https://media.cricheroes.in/dressing_room/product-media/glorious_fusion_full_1.jpg,1199,699,0,
31,Timeless Classics,Half Jersey,"<p>The all-new Timeless Classics collection transcends everything that has come before. Specially crafted for you, it brings together high-performance activewear, age-old traditions, and signature CricHeroes design elements.</p> <p> Cricket has been played for centuries across the world, and the only thing as timeless as this grand old game is the tradition of white flannels dotting the green fields. Synonymous with the purest form of the game and its kinship with the red leather ball, our new Whites collection has been designed to recreate this timeless feeling.</p> <p>The jersey showcases CricHeroes' signature white and red color combination, complemented by mesh inserts on the sides and shoulders for superior ventilation. Utilizing Temperate Pro technology, the breathable fabric efficiently absorbs moisture, dries quickly, and keeps you cool during intense performances.</p> <p>The best performance wear in Cricket for those who are timeless. Get yours today!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Regular Fit</li> <li>Polo Collar</li> <li>100% polyester</li> <li>Moisture Wicking</li> <li>Breathable</li> <li>Quick Dry</li> <li>Stretchable</li> <li>Solid Print</li> <li>Mesh panels on the side and shoulder for enhanced ventilation</li> <li>Lightweight and comfortable</li> </ul> <h2>Color</h2> <ul> <li>Off-White</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 4 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>TC01</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,T-Shirts,https://media.cricheroes.in/dressing_room/product-media/tdr_new_whites_half_1.jpg,1149,599,0,
32,Timeless Classics,Full Jersey,"<p>The all-new Timeless Classics collection transcends everything that has come before. Specially crafted for you, it brings together high-performance activewear, age-old traditions, and signature CricHeroes design elements.</p> <p> Cricket has been played for centuries across the world, and the only thing as timeless as this grand old game is the tradition of white flannels dotting the green fields. Synonymous with the purest form of the game and its kinship with the red leather ball, our new Whites collection has been designed to recreate this timeless feeling.</p> <p>This full-sleeve jersey showcases CricHeroes' signature white and red color combination, complemented by mesh inserts on the sides and shoulders for superior ventilation. Utilizing Temperate Pro technology, the breathable fabric efficiently absorbs moisture, dries quickly, and keeps you cool during intense performances.</p> <p>The best performance wear in Cricket for those who are timeless. Get yours today!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Regular Fit</li> <li>Polo Collar</li> <li>100% polyester</li> <li>Moisture Wicking</li> <li>Breathable</li> <li>Quick Dry</li> <li>Stretchable</li> <li>Solid Print</li> <li>Mesh panels on the side and shoulder for enhanced ventilation</li> <li>Lightweight and comfortable</li> </ul> <h2>Color</h2> <ul> <li>Off-White</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 4 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>TC02</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,T-Shirts,https://media.cricheroes.in/dressing_room/product-media/tdr_new_whites_full_1.jpg,1199,699,0,
33,Timeless Classics,Track Pant,"<p>Meticulously designed to pay homage to the enduring tradition of cricket played with a red leather ball, the CricHeroes Timeless Classics Lowers is designed for high performance while paying tribute to the rich history of the game.</p> <p>Crafted in regular fit and showcasing CricHeroes' signature color combination of White and Red, these Lowers comprise of open hems, a drawcord-elastic waist, mesh panel, and a contrasting Flat Lock Seam. Infused with cutting-edge Temperate Pro and Moisture-Wicking features, this garment employs advanced technology to ensure you remain comfortable throughout the game, whether that is diving around on the boundary line, building a long innings, or steaming in to deliver thunderbolts.</p> <p>The best performance wear in Cricket for those who are timeless. Get yours today!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Signature Red- White Colour Scheme</li> <li>Regular Fit</li> <li>Elasticated Waist Band with Drawcords</li> <li>100% polyester</li> <li>Moisture Wicking</li> <li>Breathable</li> <li>Quick Dry</li> <li>Double Flatlock Stitch</li> <li>Stretchable</li> <li>Solid Print</li> <li>Mesh panel along the back</li> <li>Lightweight and comfortable design</li> </ul> <h2>Color</h2> <ul> <li>Off-White</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 4 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>TC03</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,Track Pants,https://media.cricheroes.in/dressing_room/product-media/tdr_new_whites_lower_6.jpg,1149,599,0,
34,Cricket,Toss Coin,"<p>Exclusively designed CricHeroes Vintage Coin for you to start every match with a special feeling!</p> <p>In the realm of this beautiful sport, the toss of the coin is a time-honored ritual which has always marked the commencement of the great game. From local streets to grand stadiums, from aspiring young players to the most revered captains in history, this tradition resonates universally as it sets the tone for the day's play.</p> <p>This specially crafted vintage edition coin is a tribute to this powerful moment in sport and a great companion to your cricketing leadership. Walk onto the field carrying the rich history of the game in your palms, and let every flip echo this undying spirit.</p> <div class='proFeature'> <h2>Details</h2> <ul> <li>Net Quantity: 1 Toss Coin</li> <li>Weight: 10 gm</li> <li>Thickness: 0.2 cm</li> <li>Material : Alloy of Brass</li> <li>Finish- Antique finish</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 10 days</li> </ul> <h2>Product Code</h2> <ul> <li>CTC01</li> </ul> <h2>Country of Origin</h2> <ul> <li>India</li> </ul> </div>",Accessories,Toss Coin,https://media.cricheroes.in/dressing_room/product-media/coin_product_img_1.png,200,129,0,
35,CricHeroes Classic Caps,Personalized Caps,"<p>A Cap is always earned, whether it is for club or country. Having meticulously tracked your cricketing journey, we understand that special feeling of being capped, and proudly bring to you the CricHeroes Classic Cap - the perfect crown for all your achievements on the cricket field.</p> <p>A Classicist at the top, a Destroyer at the death, or a Spearhead with the ball - flaunt your tag and wear your cricketing identity with pride! We offer deep personalization across five color options, so create a cap by adding your lucky numbers, your name initials, or your CricHeroes tag, and stand out from the crowd.</p> <p><i>*Images shown are for color and printing reference. Your number and initials/tag will be on the right and left side of the cap respectively. <strong style='color: #FFE600;'>Side personalisation will be in print.</strong></i></p> <div class='proFeature'> <h2>Features</h2> <ul> <li>Free Size</li> <li>6 Paneled</li> <li>100% cotton twill</li> <li>Pre-curved brim</li> <li>Adjustable back closure</li> <li>Embroidered Eyelets for Ventilation</li> <li>Personalisation Available</li> <li>Team Orders Accepted</li> </ul> <h2>Color</h2> <ul> <li>Maroon</li> <li>Orange</li> <li>Navy</li> <li>Purple</li> <li>India Blue</li> <li>Olive Green</li> <li>Black</li> <li>Crimson Red</li> </ul> <h2>Product Code</h2> <ul> <li>CHC01</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Do not iron</li> <li>Do not use fabric softener</li> <li>Use mild detergent only</li> <li>Wash with like colors</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 3 weeks</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Accessories,Caps,https://media.cricheroes.in/dressing_room/product-media/1_common_image_for_all_caps.png,699,399,0,
39,Vibrant Victory Black,Track Pant,"<p>Crafted thoughtfully for the dynamic cricketer, prepare to experience effortless range of movement both on and off the pitch with these CricHeroes track pants. Designed to bring out the best in you, these pants efficiently wick away moisture, ensuring on-field comfort no matter the duration and intensity of your game.</p> <p>The classic style is highlighted by a printed logo and practical inseam pockets, adding a touch of flair to your athletic look. With a regular fit and a drawcord waist, these track pants offer a customizable, distraction-free fit, allowing you to go full throttle in matches, practice, or workkouts.</p> <p>WARNING: You might feel so comfortable in these Tracks, you might never take them off!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Regular Fit</li> <li>Elasticated Waist Band with Drawcords</li> <li>100% polyester</li> <li>Moisture Wicking</li> <li>Quick Dry</li> <li>Double Flatlock Stitch</li> <li>Stretchable</li> <li>Solid Print</li> <li>Lightweight and comfortable design</li> </ul> <h2>Color</h2> <ul> <li>Black</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 3 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>VVTP02</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,Track Pants,https://media.cricheroes.in/dressing_room/product-media/tdr_vv_lower_black_1_new.jpg,1149,649,0,
42,Vibrant Victory Deep Teal,Track Pant,"<p>Crafted thoughtfully for the dynamic cricketer, prepare to experience effortless range of movement both on and off the pitch with these CricHeroes track pants. Designed to bring out the best in you, these pants efficiently wick away moisture, ensuring on-field comfort no matter the duration and intensity of your game.</p> <p>The classic style is highlighted by a printed logo and practical inseam pockets, adding a touch of flair to your athletic look. With a regular fit and a drawcord waist, these track pants offer a customizable, distraction-free fit, allowing you to go full throttle in matches, practice, or workkouts.</p> <p>WARNING: You might feel so comfortable in these Tracks, you might never take them off!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Regular Fit</li> <li>Elasticated Waist Band with Drawcords</li> <li>100% polyester</li> <li>Moisture Wicking</li> <li>Quick Dry</li> <li>Double Flatlock Stitch</li> <li>Stretchable</li> <li>Solid Print</li> <li>Lightweight and comfortable design</li> </ul> <h2>Color</h2> <ul> <li>Deep Teal</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 3 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>VVTP03</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,Track Pants,https://media.cricheroes.in/dressing_room/product-media/tdr_vv_lower_deep_teal_1_new.jpg,1149,649,0,
43,Vibrant Victory Navy Blue,Track Pant,"<p>Crafted thoughtfully for the dynamic cricketer, prepare to experience effortless range of movement both on and off the pitch with these CricHeroes track pants. Designed to bring out the best in you, these pants efficiently wick away moisture, ensuring on-field comfort no matter the duration and intensity of your game.</p> <p>The classic style is highlighted by a printed logo and practical inseam pockets, adding a touch of flair to your athletic look. With a regular fit and a drawcord waist, these track pants offer a customizable, distraction-free fit, allowing you to go full throttle in matches, practice, or workkouts.</p> <p>WARNING: You might feel so comfortable in these Tracks, you might never take them off!</p> <div class='proFeature'><h2>Features</h2> <ul> <li>Regular Fit</li> <li>Elasticated Waist Band with Drawcords</li> <li>100% polyester</li> <li>Moisture Wicking</li> <li>Quick Dry</li> <li>Double Flatlock Stitch</li> <li>Stretchable</li> <li>Solid Print</li> <li>Lightweight and comfortable design</li> </ul> <h2>Color</h2> <ul> <li>Navy Blue</li> </ul> <h2>Material &amp; Care</h2> <ul> <li>Machine wash cold</li> <li>Do not bleach</li> <li>Do not tumble dry</li> <li>Do not dry clean</li> <li>Wash and iron inside out</li> <li>Touch up with cool iron</li> <li>Do not use fabric softener</li> </ul> <h2>Delivery Time</h2> <ul> <li>Within 3 weeks</li> </ul> <h2>Product Code</h2> <ul> <li>VVTP01</li> </ul> <h2>Country of origin:</h2> <ul> <li>India</li> </ul> </div>",Apparel,Track Pants,https://media.cricheroes.in/dressing_room/product-media/tdr_vv_lower_navy_blue_1_new.jpg,1149,649,0,
